IP地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）,地区码,端口
2.58.104.143,4,4,0,189.45,24.2,LAX,8443
2.58.104.99,4,4,0,190.45,23.75,LAX,8443
2.58.104.249,4,4,0,192.25,23.15,LAX,8443
2.58.104.11,4,4,0,189.98,22.93,LAX,8443
2.58.104.218,4,4,0,188.33,22.93,LAX,8443
2.58.104.196,4,4,0,186.49,22.57,LAX,2087
2.58.104.30,4,4,0,188.07,22.31,LAX,2096
2.58.104.50,4,4,0,189.32,22.11,LAX,8443
2.58.104.176,4,4,0,191.14,21.68,LAX,8443
2.58.104.6,4,4,0,186.92,18.63,LAX,2096
2.58.104.92,4,4,0,191.26,18.04,LAX,8443
31.133.1.8,4,4,0,190.8,17.95,WAW,2053
31.133.0.250,4,4,0,237.54,16.98,WAW,2053
31.133.0.133,4,4,0,219.49,16.36,WAW,2053
2.58.104.2,4,4,0,192.79,16.19,LAX,8443
80.211.249.79,4,4,0,229.24,16.18,FRA,2053
31.133.0.49,4,4,0,216.48,14.57,WAW,2053
31.133.0.55,4,4,0,214.36,14.52,WAW,2053
151.115.61.151,4,4,0,200.16,14,WAW,2053
31.133.0.122,4,4,0,218.44,13.97,WAW,8443
31.133.0.124,4,4,0,225.55,13.63,WAW,2053
148.253.208.57,4,4,0,196.75,13.36,FRA,443
31.133.0.150,4,4,0,226.72,13.17,WAW,2053
31.133.0.100,4,4,0,212.64,13.15,WAW,2053
31.133.0.143,4,4,0,232.94,13.14,WAW,2053
31.133.0.103,4,4,0,221.74,13.09,WAW,2053
31.133.0.240,4,4,0,232.52,13.03,WAW,2053
31.133.0.135,4,4,0,217.56,12.8,WAW,2053
31.133.0.159,4,3,0.25,230.35,12.34,WAW,2053
80.211.249.240,4,4,0,200.6,12.26,FRA,2053
45.144.50.4,4,4,0,210.32,12.23,WAW,443
31.133.0.45,4,4,0,218.07,11.57,WAW,2053
31.133.0.167,4,4,0,210.12,11.52,WAW,2053
31.133.0.70,4,4,0,233.9,10.51,WAW,2053
31.133.0.105,4,4,0,219.2,10.1,WAW,2053
91.149.221.175,4,4,0,246.61,10.07,WAW,443
80.211.249.240,4,4,0,220.4,8.88,FRA,2053
2.58.104.11,4,4,0,189.59,8.71,LAX,8443
178.236.254.147,4,4,0,373.8,8.49,FRA,443
176.124.33.59,4,4,0,336.25,8.49,WAW,443
2.58.104.101,4,4,0,190.04,8.27,LAX,8443
45.144.51.79,4,4,0,205.68,7.71,WAW,8443
151.115.58.191,4,4,0,212.27,7.34,WAW,4443
91.149.253.213,4,4,0,271.74,6.59,WAW,2053
80.211.249.68,4,4,0,223.2,6.21,FRA,8443
193.221.203.84,4,4,0,268.19,5.97,HEL,443
37.252.10.91,4,4,0,291.03,5.59,WAW,443
178.255.46.176,4,4,0,281.74,5.22,WAW,443
37.252.11.17,4,4,0,253.69,5.2,WAW,443
45.144.51.167,4,4,0,228.57,5.06,WAW,8443
193.124.41.165,4,4,0,247.32,4.84,WAW,8443
45.144.48.33,4,4,0,231.97,3.99,WAW,8443
45.144.51.140,4,4,0,240.07,3.9,WAW,8443
188.116.40.37,4,4,0,187.11,3.88,WAW,443
2.58.104.122,4,4,0,189.76,3.82,LAX,2096
80.211.249.68,4,4,0,224.46,3.78,FRA,8443
37.252.6.119,4,4,0,276.86,3.75,WAW,443
45.144.51.140,4,4,0,247.37,3.66,WAW,8443
37.252.10.144,4,4,0,291.87,3.6,WAW,8443
176.105.253.43,4,4,0,195.33,3.55,WAW,443
91.149.253.249,4,4,0,257.67,3.24,WAW,443
45.144.48.186,4,4,0,211.73,2.81,WAW,8443
91.149.253.213,4,4,0,259.99,2.54,WAW,2053
91.149.253.65,4,4,0,259.53,2.42,WAW,443
45.144.48.42,4,4,0,225.6,2.28,VNO,8443
70.34.244.250,4,4,0,187.99,2.16,WAW,12531
89.46.235.32,4,4,0,184.1,2.13,WAW,8443
95.140.157.183,4,4,0,299.13,1.75,AMS,8443
45.144.51.140,4,4,0,182.51,1.71,WAW,8443
64.176.68.73,4,4,0,178.57,1.6,WAW,443
45.144.51.127,4,4,0,233.87,1.49,WAW,8443
45.144.48.182,4,4,0,215.65,1.3,VNO,8443
2.58.104.213,4,4,0,189.45,1.28,LAX,8443
87.98.235.174,4,4,0,302.75,1.16,CDG,2053
138.124.20.173,4,4,0,301.39,1.13,WAW,443
38.180.111.12,4,4,0,275.47,1.08,WAW,443
45.144.51.79,4,4,0,231.11,1.06,WAW,8443
2.58.104.0,4,4,0,188.73,1.03,LAX,8443
45.144.51.127,4,4,0,216.53,0.98,WAW,8443
87.98.235.90,4,4,0,267.51,0.81,CDG,2053
45.144.48.58,4,4,0,227.72,0.7,WAW,443
185.177.238.82,4,4,0,271.42,0.65,AMS,8443
82.118.22.141,4,4,0,285.15,0.64,KBP,2053
87.98.235.90,4,4,0,270.86,0.61,CDG,2053
45.144.51.160,4,4,0,224.82,0.61,WAW,8443
147.135.209.171,4,4,0,264.88,0.57,WAW,443
176.57.221.222,4,4,0,255.54,0.53,AMS,8443
45.149.63.36,4,4,0,292.11,0.53,WAW,2053
45.144.48.158,4,4,0,202.07,0.53,WAW,8443
82.118.22.141,4,4,0,328.13,0.51,KBP,2053
45.144.48.140,4,4,0,230.24,0.49,WAW,8443
45.144.48.42,4,4,0,196.26,0.48,WAW,8443
193.124.41.165,4,4,0,295.28,0.47,WAW,8443
2.58.104.123,4,4,0,190.72,0.44,LAX,2096
85.193.92.242,4,4,0,297.8,0.43,AMS,8443
45.144.48.64,4,4,0,208.71,0.39,VIE,8443
45.144.51.166,4,4,0,204.13,0.28,WAW,8443
31.169.126.240,4,4,0,306.09,0.26,WAW,443
103.167.234.26,4,4,0,225.63,0.25,WAW,443
45.144.51.139,4,4,0,213.38,0.21,WAW,8443
91.184.243.61,4,3,0.25,376.58,0.19,FRA,8443
45.144.48.57,4,4,0,238.56,0.16,WAW,8443
45.144.49.146,4,4,0,207.66,0.15,VNO,443
IP地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）,地区码,端口
176.126.113.231,4,4,0,200.37,37.65,AMS,8443
95.179.181.92,4,4,0,204.99,37.13,AMS,8443
91.186.219.82,4,4,0,290.72,36.37,FRA,443
78.141.219.233,4,4,0,225.96,35.41,AMS,443
95.179.140.212,4,4,0,205.29,35.3,AMS,443
5.252.22.46,4,4,0,181.52,35.17,FRA,443
146.0.79.28,4,4,0,208.75,33.99,AMS,8443
213.176.64.23,4,4,0,308.91,33.99,FRA,8443
104.238.170.163,4,4,0,207.53,33.91,LHR,2053
89.22.224.41,4,4,0,288.17,33.45,FRA,443
212.34.132.124,4,4,0,249.36,33.34,AMS,443
38.180.108.148,4,4,0,198.43,33.31,BUD,443
45.89.52.247,4,4,0,235.22,32.79,AMS,443
38.180.35.205,4,4,0,214.01,32.59,OTP,443
45.83.21.13,4,4,0,235.06,32.5,AMS,443
195.135.255.177,4,4,0,284.24,32.5,RIX,443
138.124.34.221,4,4,0,333.28,31.92,FRA,443
83.147.252.155,4,4,0,318.77,31.91,FRA,443
45.150.33.143,4,4,0,287.7,31.82,FRA,443
171.22.117.101,4,4,0,192.77,31.31,AMS,443
194.246.81.122,4,4,0,246.07,30.99,AMS,443
212.52.1.214,4,4,0,196.85,30.94,FRA,443
77.110.97.193,4,4,0,302.4,30.93,FRA,443
179.43.180.231,4,4,0,200.52,30.88,ZRH,443
83.147.254.62,4,4,0,316.16,30.85,FRA,443
63.32.194.15,4,4,0,192.08,30.62,DUB,8443
80.211.201.68,4,4,0,190.03,30.35,PRG,443
62.60.230.30,4,4,0,283.27,30.32,FRA,443
79.141.73.189,4,4,0,141.52,30.03,DME,443
193.180.208.166,4,4,0,182,30.02,CPH,587
94.131.123.74,4,4,0,232.09,29.88,DUS,443
45.63.42.198,4,4,0,181.34,29.78,AMS,443
213.165.36.174,4,4,0,309.01,29.64,FRA,443
175.45.183.67,4,4,0,262.02,29.51,SYD,443
172.234.96.64,4,4,0,236.8,29.47,ARN,8443
45.63.100.255,4,4,0,208.12,29.4,LHR,8443
185.185.51.207,4,4,0,185.1,29,AMS,443
38.180.109.174,4,4,0,174.27,28.95,BUD,443
195.135.255.74,4,4,0,298.08,28.78,VNO,443
95.179.228.147,4,4,0,212.48,28.61,LHR,8443
89.110.78.173,4,4,0,253.79,28.54,AMS,443
181.36.229.212,4,4,0,318.57,28.53,SDQ,443
185.135.86.217,4,4,0,200.76,28.31,RIX,8443
95.163.240.24,4,4,0,198.71,27.96,ARN,8443
93.183.91.145,4,4,0,278.25,27.62,AMS,2053
109.107.178.184,4,4,0,164.45,27.54,AMS,443
185.104.63.201,4,4,0,296.23,27.13,FRA,443
77.220.213.15,4,3,0.25,225.63,26.99,AMS,443
65.20.102.207,4,4,0,201.77,26.93,MAD,8443
62.60.245.255,4,4,0,293.27,26.78,FRA,443
146.0.79.28,4,4,0,212.29,26.77,AMS,8443
83.147.254.188,4,4,0,304.16,26.71,FRA,443
138.124.49.18,4,3,0.25,314.25,26.31,FRA,443
194.87.26.250,4,4,0,253.39,26.16,FRA,443
93.152.207.130,4,4,0,215.43,26.09,ARN,8443
5.159.101.86,4,4,0,155.02,25.88,ARN,443
31.129.48.139,4,4,0,157.29,25.78,DME,443
91.186.218.221,4,4,0,334.39,25.73,FRA,443
91.186.217.158,4,4,0,337.06,25.56,FRA,443
62.60.245.7,4,4,0,316.3,25.3,FRA,443
45.130.22.18,4,4,0,248.76,24.83,AMS,443
91.184.240.196,4,4,0,327.74,24.49,FRA,443
77.73.68.141,4,4,0,242.36,24.41,ARN,443
186.67.70.55,4,4,0,289.59,24.4,SCL,443
185.235.241.209,4,4,0,190.34,24.36,FRA,8443
212.41.15.119,4,4,0,152.47,24.25,DME,443
62.60.230.30,4,4,0,335.55,24.19,FRA,443
5.252.21.228,4,4,0,191.93,23.93,AMS,443
5.181.20.213,4,4,0,219.58,23.88,HEL,443
5.255.102.201,4,4,0,167.87,23.59,AMS,8443
193.164.128.166,4,4,0,249.23,23.49,HEL,443
62.60.229.255,4,3,0.25,265.12,23.38,FRA,443
45.77.137.3,4,4,0,189.78,23.38,AMS,8443
91.186.219.122,4,4,0,327.4,23.17,FRA,443
92.241.18.106,4,4,0,193.44,23.13,DME,443
77.221.139.20,4,4,0,262.75,23.12,FRA,443
152.53.225.203,4,4,0,200.6,22.99,FRA,2020
68.168.31.169,4,4,0,218.95,22.97,LHR,443
62.60.153.182,4,4,0,300.3,22.91,FRA,443
91.197.1.119,4,4,0,297.65,22.76,RIX,443
91.186.218.93,4,4,0,308.17,22.75,FRA,443
185.229.225.229,4,4,0,237.26,22.66,AMS,443
45.89.107.118,4,4,0,343.77,22.6,KUL,443
104.238.170.163,4,4,0,215.94,22.59,LHR,2053
91.186.218.58,4,4,0,327.66,22.51,FRA,443
113.30.149.200,4,4,0,253.44,22.46,MAD,443
86.104.75.180,4,4,0,184.65,22.37,BUD,443
31.129.48.139,4,4,0,161.31,22.19,DME,443
70.34.203.196,4,4,0,226.31,22.08,ARN,443
38.180.79.9,4,4,0,372.78,22.07,GRU,443
91.186.219.191,4,4,0,287.59,22.02,FRA,443
194.87.245.181,4,4,0,248.61,21.92,DUB,8443
45.63.100.255,4,4,0,245.84,21.82,LHR,8443
77.232.143.218,4,4,0,286.39,21.81,FRA,443
195.135.253.121,4,4,0,292.8,21.81,RIX,443
139.28.220.16,4,4,0,241.44,21.76,HEL,2053
91.184.242.250,4,4,0,274.95,20.97,FRA,443
138.124.34.176,4,4,0,291.43,20.91,FRA,443
152.53.225.135,4,4,0,202.36,20.61,FRA,2021
46.226.160.96,4,4,0,275.6,20.49,FRA,443
91.186.217.186,4,3,0.25,311.63,20.47,FRA,443
83.138.53.29,4,4,0,196.14,20.13,AMS,443
195.226.194.191,4,4,0,206.89,20.12,AMS,443
94.103.80.218,4,4,0,194.6,20.07,AMS,8443
77.83.87.92,4,3,0.25,196.7,20.06,AMS,443
45.150.33.1,4,4,0,313.01,20.01,FRA,443
212.69.84.189,4,4,0,207.31,19.99,AMS,443
31.129.49.103,4,4,0,151.19,19.84,LED,8443
79.137.198.147,4,4,0,275.7,19.76,FRA,2053
38.180.78.255,4,4,0,365.26,19.62,GRU,443
212.237.219.176,4,4,0,232.02,19.61,HEL,443
179.43.176.216,4,4,0,205.21,19.58,MXP,443
83.138.55.120,4,4,0,206.83,19.57,VIE,2053
185.170.10.35,4,4,0,144.01,19.36,DME,443
45.67.34.89,4,4,0,239.83,19.28,OTP,443
91.186.217.94,4,4,0,305.78,18.92,FRA,443
78.141.219.233,4,4,0,196.52,18.88,AMS,443
31.130.149.85,4,4,0,191.41,18.85,ARN,8443
202.148.52.13,4,4,0,178.93,18.82,AMS,443
185.14.30.163,4,4,0,178.26,18.7,AMS,443
103.214.6.90,4,4,0,284.72,18.64,AMS,443
79.141.73.189,4,4,0,141.05,18.52,DME,443
103.97.88.133,4,4,0,190.39,18.41,AMS,443
152.53.117.152,4,4,0,184.27,18.39,FRA,1022
212.6.44.200,4,4,0,290.77,18.27,VNO,443
94.177.8.122,4,4,0,178.42,18.27,VIE,8443
146.103.98.102,4,4,0,177.92,18.26,AMS,443
193.219.97.235,4,4,0,198.31,18.19,VIE,8443
87.229.97.146,4,4,0,209.84,18.17,FRA,8443
77.246.102.19,4,4,0,170.38,18.15,AMS,443
88.210.6.236,4,4,0,163.36,17.89,DME,2053
91.186.216.142,4,3,0.25,301.98,17.73,FRA,443
83.147.254.245,4,4,0,266.59,17.72,FRA,443
194.246.82.213,4,4,0,245.36,17.71,AMS,443
94.72.140.22,4,4,0,211.27,17.7,SOF,8443
77.110.104.41,4,4,0,146.22,17.55,DME,8443
176.119.141.113,4,4,0,218.26,17.51,AMS,443
88.210.9.48,4,4,0,174.29,17.28,LHR,443
146.103.104.29,4,4,0,174.85,17.27,AMS,443
86.104.75.180,4,4,0,209.47,17.05,BUD,443
207.148.80.190,4,4,0,290.05,17.05,SYD,443
62.84.98.74,4,4,0,216.31,17,DME,8443
31.25.29.199,4,2,0.5,179.71,16.97,FRA,443
94.177.8.122,4,4,0,173.03,16.82,VIE,8443
146.103.113.158,4,4,0,187.49,16.78,AMS,443
193.219.97.146,4,4,0,194.48,16.72,VIE,8443
185.193.158.86,4,4,0,219.43,16.71,AMS,8443
162.211.230.135,4,4,0,154.42,16.7,AMS,443
185.193.158.94,4,4,0,223.03,16.68,AMS,8443
84.246.85.214,4,4,0,215.4,16.66,AMS,443
83.147.216.31,4,4,0,275.28,16.64,FRA,443
185.239.70.41,4,4,0,207.4,16.62,AMS,15555
193.228.193.124,4,4,0,211.47,16.62,AMS,8443
195.49.215.254,4,4,0,201.38,16.44,ALA,8443
185.193.158.75,4,4,0,223.15,16.44,AMS,8443
77.246.100.139,4,4,0,195.81,16.39,AMS,8443
147.45.50.181,4,4,0,289.38,16.37,AMS,8080
185.238.170.8,4,4,0,163.32,16.32,AMS,443
203.98.67.74,4,4,0,211.36,16.29,VIE,8443
91.201.115.92,4,4,0,187,16.28,ARN,443
5.2.66.9,4,4,0,166.15,16.15,AMS,443
80.211.48.113,4,4,0,220.46,16.09,FCO,443
185.193.158.90,4,4,0,213.16,15.96,AMS,8443
87.229.97.42,4,4,0,209.28,15.95,FRA,8443
193.180.211.52,4,4,0,194.38,15.92,CPH,443
193.84.2.58,4,4,0,240.08,15.89,HEL,8443
194.180.189.194,4,4,0,228.43,15.86,HEL,443
2.56.126.100,4,4,0,194.28,15.85,CDG,2053
38.180.205.71,4,3,0.25,206.97,15.82,OTP,443
37.152.182.54,4,4,0,228.04,15.81,FRA,8443
89.169.5.27,4,4,0,239.78,15.78,AMS,443
78.40.117.10,4,4,0,245.1,15.74,ARN,2053
185.193.158.69,4,4,0,234.16,15.73,AMS,8443
13.48.175.183,4,3,0.25,193.24,15.73,ARN,2053
78.40.197.62,4,4,0,197.77,15.7,DME,443
46.249.50.72,4,4,0,165.03,15.69,AMS,443
185.193.159.12,4,3,0.25,211.74,15.69,AMS,8443
194.180.189.36,4,4,0,217.06,15.66,HEL,443
95.164.34.32,4,4,0,220.65,15.64,AMS,443
89.110.89.229,4,4,0,205.78,15.59,DME,2053
109.104.153.94,4,4,0,183.65,15.58,AMS,443
93.185.166.62,4,4,0,198.87,15.58,AMS,2053
185.193.159.14,4,4,0,216.26,15.54,AMS,8443
193.219.97.146,4,4,0,162.08,15.49,VIE,8443
77.246.104.142,4,4,0,165.48,15.45,AMS,443
194.87.190.216,4,4,0,178.51,15.45,ARN,443
192.210.175.185,4,4,0,233.08,15.44,AMS,443
206.168.213.248,4,2,0.5,204.21,15.39,ARN,8443
193.228.193.123,4,4,0,215.12,15.39,AMS,8443
193.228.193.115,4,4,0,227.25,15.34,AMS,8443
88.210.6.236,4,4,0,162.68,15.28,AMS,2053
31.129.49.103,4,3,0.25,151.28,15.28,ARN,8443
87.229.97.198,4,4,0,219.3,15.25,FRA,8443
78.40.117.49,4,4,0,214.78,15.25,ARN,2053
185.193.158.89,4,4,0,217.56,15.24,AMS,8443
195.231.38.220,4,4,0,209.04,15.2,MXP,443
178.253.22.108,4,4,0,242.23,15.19,AMS,8443
31.59.129.67,4,4,0,174.48,15.18,AMS,443
185.148.146.9,4,4,0,209.62,15.17,SOF,443
185.193.158.74,4,4,0,222.81,15.17,AMS,8443
77.221.143.66,4,4,0,292.09,15.15,FRA,8443
153.92.127.18,4,4,0,164.39,15.15,AMS,443
77.246.108.130,4,4,0,178.27,15.12,AMS,443
193.37.213.44,4,4,0,247.19,15.09,SOF,443
38.180.84.46,4,4,0,203.94,15.09,MXP,443
146.103.100.127,4,4,0,176.04,15.07,AMS,8443
88.210.35.159,4,4,0,205.65,15.06,AMS,443
185.193.158.54,4,4,0,224.63,15,AMS,8443
195.2.93.34,4,4,0,178.76,15,AMS,443
51.158.244.90,4,4,0,214.3,14.97,AMS,2053
185.119.117.146,4,4,0,234.12,14.96,VIE,8443
146.103.114.180,4,4,0,169.04,14.96,AMS,443
185.193.159.19,4,4,0,217.29,14.93,AMS,8443
185.193.158.66,4,4,0,209.87,14.92,AMS,8443
185.193.159.2,4,4,0,217.93,14.92,AMS,8443
146.103.109.42,4,4,0,172.71,14.91,AMS,443
62.84.98.74,4,4,0,176,14.91,AMS,8443
77.105.140.103,4,4,0,159.58,14.91,AMS,443
176.222.54.157,4,1,0.75,220.31,14.9,AMS,8443
193.180.208.234,4,4,0,185.48,14.9,FRA,443
45.67.229.8,4,4,0,218.63,14.89,WAW,443
176.109.106.61,4,3,0.25,189.35,14.85,DME,8444
77.246.100.139,4,3,0.25,202.3,14.85,AMS,8443
91.84.101.160,4,4,0,257.61,14.85,AMS,443
62.84.102.158,4,4,0,175.46,14.84,DME,8443
212.34.151.155,4,4,0,244.81,14.83,AMS,8443
89.150.35.129,4,4,0,203.69,14.83,AMS,443
185.193.158.93,4,4,0,214.24,14.79,AMS,8443
83.147.254.168,4,4,0,288.49,14.77,FRA,443
38.244.177.180,4,4,0,185.95,14.77,LHR,443
185.70.187.38,4,4,0,165.01,14.76,AMS,443
193.228.193.126,4,4,0,222,14.67,AMS,8443
185.193.158.68,4,4,0,219.59,14.63,AMS,8443
185.130.225.218,4,4,0,218.07,14.61,AMS,443
193.219.97.235,4,4,0,176.81,14.6,VIE,8443
185.193.158.72,4,4,0,216.32,14.6,AMS,8443
193.84.3.188,4,4,0,218.13,14.58,HEL,443
5.39.219.107,4,4,0,178.17,14.57,AMS,443
185.193.159.5,4,4,0,221.71,14.56,AMS,8443
185.193.159.20,4,4,0,231.71,14.56,AMS,8443
146.103.114.134,4,4,0,157.66,14.52,AMS,443
212.34.152.234,4,4,0,245.96,14.5,AMS,2053
185.156.172.196,4,4,0,204.33,14.49,AMS,443
78.40.117.50,4,4,0,224.29,14.49,ARN,2053
212.34.149.185,4,4,0,249.61,14.47,AMS,443
46.29.239.19,4,4,0,196.62,14.46,AMS,443
185.198.165.92,4,4,0,179.18,14.39,AMS,443
5.255.120.214,4,4,0,177.48,14.38,AMS,8443
185.193.158.85,4,4,0,226.15,14.35,AMS,8443
134.195.137.107,4,4,0,171.44,14.34,HYD,22473
5.35.34.146,4,4,0,195.67,14.34,AMS,443
176.222.52.246,4,4,0,207.13,14.34,AMS,443
46.17.97.207,4,1,0.75,173.26,14.34,AMS,2053
89.110.119.10,4,4,0,240.2,14.3,AMS,2053
193.228.193.114,4,4,0,211.81,14.29,AMS,8443
203.98.67.74,4,4,0,224.25,14.27,VIE,8443
89.110.117.53,4,4,0,242.9,14.25,AMS,8443
185.193.158.76,4,4,0,220.75,14.24,AMS,8443
103.15.90.134,4,3,0.25,239.93,14.22,HKG,49678
185.193.159.18,4,3,0.25,230.02,14.21,AMS,8443
45.82.102.39,4,4,0,230.42,14.21,OTP,8443
94.177.8.78,4,4,0,154.48,14.2,VIE,2053
194.164.33.236,4,4,0,256.09,14.12,AMS,443
185.193.159.6,4,4,0,223.15,14.09,AMS,8443
185.17.2.109,4,4,0,224.42,14.08,ARN,443
46.102.156.144,4,4,0,194.14,14.06,VIE,8443
185.193.159.10,4,4,0,210.19,14.05,AMS,8443
45.144.52.69,4,4,0,233.46,14.04,HEL,2053
45.82.102.41,4,4,0,236.5,14.04,OTP,8443
83.97.77.63,4,4,0,208.27,14.02,ALA,2053
193.228.193.118,4,4,0,225.27,14.02,AMS,8443
194.102.104.18,4,4,0,247.57,14,KIV,443
171.22.183.86,4,4,0,181.95,13.99,AMS,443
45.93.9.228,4,4,0,222.71,13.98,ARN,2053
194.120.116.68,4,4,0,234.87,13.97,AMS,8443
185.233.184.70,4,4,0,205.62,13.95,AMS,443
176.109.106.61,4,4,0,209.72,13.94,DME,8444
87.229.97.31,4,4,0,207.62,13.92,FRA,8443
185.193.158.92,4,4,0,231.74,13.92,AMS,8443
87.229.97.175,4,4,0,186.85,13.89,FRA,8443
178.130.43.224,4,4,0,253.87,13.8,AMS,2053
193.228.193.121,4,4,0,224.61,13.8,AMS,8443
185.193.158.55,4,4,0,208.28,13.79,AMS,8443
212.34.155.195,4,4,0,256.2,13.77,AMS,8443
185.193.159.24,4,4,0,227.83,13.77,AMS,8443
84.201.175.18,4,4,0,200.33,13.77,DME,443
103.90.73.117,4,4,0,285.88,13.75,AMS,443
46.17.102.93,4,4,0,177.62,13.67,AMS,443
31.59.114.254,4,4,0,244.32,13.66,AMS,2053
109.120.134.216,4,4,0,288.44,13.66,FRA,443
93.183.69.161,4,4,0,183.39,13.65,AMS,443
46.17.103.176,4,4,0,236.75,13.64,AMS,8443
193.228.193.125,4,4,0,220.67,13.64,AMS,8443
88.210.9.239,4,4,0,194.05,13.63,AMS,443
185.193.158.98,4,4,0,220.64,13.62,AMS,8443
80.71.232.52,4,4,0,196.35,13.62,AMS,443
45.12.255.177,4,4,0,206.13,13.61,AMS,443
129.152.2.127,4,4,0,200.98,13.61,MXP,1488
212.34.131.178,4,3,0.25,236.73,13.6,AMS,443
212.113.106.13,4,4,0,254.83,13.58,FRA,443
185.193.158.78,4,4,0,211.24,13.57,AMS,8443
185.31.200.5,4,4,0,256.15,13.56,AMS,8443
188.225.34.155,4,4,0,229.92,13.56,FRA,443
89.208.105.142,4,4,0,307.32,13.54,FRA,8443
185.193.159.11,4,4,0,220.56,13.54,AMS,8443
185.193.158.81,4,4,0,226.69,13.52,AMS,8443
185.193.159.3,4,4,0,228.24,13.52,AMS,8443
185.193.158.73,4,4,0,235.64,13.47,AMS,8443
178.255.222.43,4,4,0,232.03,13.43,AMS,8443
178.255.222.118,4,3,0.25,271.3,13.42,AMS,8443
185.193.159.21,4,4,0,222.27,13.42,AMS,8443
83.138.55.252,4,4,0,172.02,13.4,VIE,8443
146.0.73.202,4,4,0,181.26,13.4,AMS,443
147.45.76.247,4,4,0,266.51,13.38,FRA,443
194.87.245.181,4,4,0,282.77,13.35,DUB,8443
78.129.253.115,4,3,0.25,284.27,13.32,LHR,443
212.34.150.204,4,4,0,244.89,13.32,DME,8443
89.110.123.23,4,4,0,241.34,13.31,AMS,443
185.193.158.50,4,4,0,202.07,13.31,AMS,8443
212.34.128.155,4,4,0,254.57,13.31,AMS,2053
85.192.49.132,4,4,0,215.74,13.29,HEL,8443
89.110.106.170,4,4,0,244.53,13.27,AMS,8443
93.183.88.35,4,4,0,244.1,13.27,AMS,443
212.34.145.62,4,4,0,241.59,13.27,AMS,2053
185.193.159.8,4,4,0,226.49,13.27,AMS,8443
194.164.34.222,4,4,0,261.67,13.26,AMS,2053
84.21.172.188,4,4,0,175.15,13.26,RIX,443
185.193.159.23,4,4,0,228.2,13.24,AMS,8443
212.34.133.61,4,4,0,249.8,13.22,AMS,443
193.33.194.180,4,3,0.25,186.19,13.21,AMS,2053
178.255.222.118,4,4,0,239.57,13.2,AMS,8443
185.193.158.87,4,4,0,221.64,13.2,AMS,8443
185.193.159.7,4,4,0,220.12,13.19,AMS,8443
78.40.116.136,4,4,0,232.24,13.19,ARN,2053
89.169.33.230,4,4,0,335.63,13.16,FRA,443
185.193.158.52,4,4,0,224.07,13.16,AMS,8443
89.208.105.131,4,4,0,254.39,13.16,FRA,2053
194.60.134.249,4,4,0,252.27,13.15,AMS,443
185.193.158.67,4,4,0,244.77,13.15,AMS,8443
194.87.190.216,4,4,0,200,13.14,ARN,443
185.193.159.13,4,4,0,228.72,13.14,AMS,8443
45.156.25.160,4,4,0,257.4,13.11,AMS,8443
62.60.245.67,4,4,0,306.91,13.1,FRA,443
193.228.193.120,4,4,0,228.73,13.1,AMS,8443
94.72.140.22,4,4,0,184.49,13.1,SOF,8443
46.8.229.111,4,4,0,247.81,13.07,AMS,8443
185.193.158.56,4,4,0,219.3,13.07,AMS,8443
185.193.158.88,4,4,0,227.93,13.07,AMS,8443
212.113.103.4,4,4,0,303.26,13.05,FRA,443
37.128.207.179,4,4,0,294.13,13.05,VNO,443
93.183.126.153,4,4,0,238.27,13.05,AMS,2053
212.34.151.201,4,4,0,261.85,13.04,AMS,443
93.183.90.7,4,4,0,247.94,12.98,AMS,443
141.147.92.143,4,4,0,214.83,12.97,LHR,8443
93.183.91.69,4,4,0,245.92,12.96,AMS,8443
62.60.152.14,4,4,0,310.05,12.95,FRA,8443
78.40.116.89,4,4,0,228.97,12.94,ARN,2053
62.60.244.205,4,4,0,282.28,12.92,FRA,443
164.215.97.18,4,4,0,291.75,12.89,ARN,443
5.255.120.214,4,4,0,196.51,12.87,AMS,8443
62.60.251.86,4,4,0,293.99,12.87,FRA,8443
185.193.158.53,4,4,0,217.15,12.87,AMS,8443
43.245.227.108,4,4,0,222.5,12.86,LHR,8443
43.245.227.108,4,4,0,239,12.84,LHR,8443
46.29.237.99,4,4,0,175.86,12.84,AMS,2053
78.129.149.27,4,3,0.25,269.21,12.84,LHR,443
171.22.124.215,4,4,0,178.07,12.83,AMS,443
185.193.158.82,4,4,0,221.59,12.83,AMS,8443
176.222.54.227,4,4,0,227.61,12.82,AMS,443
77.239.108.120,4,4,0,255.64,12.82,FRA,443
5.35.37.238,4,4,0,260.64,12.81,AMS,8443
193.228.193.119,4,4,0,228.98,12.8,AMS,8443
93.183.91.69,4,3,0.25,262.42,12.74,AMS,8443
46.246.96.59,4,4,0,204.46,12.74,ARN,8443
89.110.116.183,4,4,0,235.12,12.73,AMS,2053
5.101.180.125,4,4,0,234.15,12.7,TLL,2053
185.193.158.84,4,4,0,228.48,12.7,AMS,8443
146.190.236.144,4,4,0,263.18,12.67,AMS,443
94.131.100.225,4,4,0,209.47,12.66,ARN,2053
85.192.49.204,4,4,0,230.85,12.63,HEL,443
185.193.159.4,4,4,0,212.52,12.63,AMS,8443
62.233.57.156,4,4,0,220.96,12.61,PRG,443
45.135.180.190,4,4,0,199.53,12.6,AMS,443
